"Timestamp","edad","lugar_residencia","lugar_origen","trabaja","ingreso_mensual","familiares_graduados","familiares_misma_carrera","conocimiento_plan_estudios","asesoria_universitaria","conocimiento_areas_carrera","previo_test_vocacional","lugar_test_vocacional","momento_test_vocacional","resultados_congruentes_test","conocimiento_test_unah","razones_eleccion_carrera","satisfaccion_carrera","satisfaccion_docentes","motivacion","opcion_inicial_carrera","cambio_carrera","interes_herramienta_tecnologica","pensado_cambio_carrera","factores_no_cambio","veces _cambio_carrera","factores_cambio_carrera","nombre_carrera","multiple_carrera","nombre_opcion_carrera","año_carrera","procentaje_clases_cursadas","porcentaje_clases_facultad","porcentaje_clases_matematica","indice_academico","reprobado","año_reprobacion","reprobado_mas_de_dos","jornada","estudia_grupo","horas_estudio_diario","comunicación_oral_escrita ","relaciones_interpersonales ","creatividad","liderazgo","autodidacta","calculo_mental","resolucion_puzzles","juegos_estrategia","operaciones_matematicas"
"2020/04/14 4:14:09 p.m. GMT-5","21-24 años","Familiares","Francisco Morazán","No","0 - 3000 L.","No","No","Si","Orientacion  VOAE","Si","Si","UNAH","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Poco satisfecho","Poco satisfecho",4,"Si","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","No","Si... Radiología",3,"20-50%","0-30%","30-50%","80-89","Si",2,"No","Mañana;Tarde","Si","mas de 4 horas","Media","Media","Media","Media","Media","Bajo","Medio","Medio","Medio"
"2020/04/14 4:16:56 p.m. GMT-5","mayor de 28","Propia","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","No","Ninguna","Si","Si","Departamento privado de psicología;Otro","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","","ingenieria electrica",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si",1,"Si","Tarde;Noche","No","0-2 horas","Media","Baja","Baja","Baja","Alta","Bajo","Bajo","Medio","Bajo"
"2020/04/14 4:21:30 p.m. GMT-5","21-24 años","Familiares","Atlántida","No","3000- 6000 L.","Si","No","No","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","Poco satisfecho","Muy satisfecho",2,"Si","No","Si","Sí","Tu edad;Recursos y tiempo invertidos en la carrera;Opinion familiar/amigos;Factor economico",NA,"","Ingeniería en Sistemas","no","comunicaciones",2,"20-50%","0-30%","mas de 70%","<65","Si",1,"Si","Mañana;Tarde","No","2-4 horas","Muy alta","Baja","Muy Baja","Baja","Media","Medio","Medio","Muy alto","Medio"
"2020/04/14 4:29:03 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","Mayor a 6000 L.","No","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos;Influencia familiar","Poco satisfecho","Poco satisfecho",2,"Si","No","Si","Sí","Recursos y tiempo invertidos en la carrera;Opinion familiar/amigos",NA,"","Ingeniería en Sistemas","","",2,"0-20%","0-30%","0-30%","65-69","Si",1,"Si","Noche","Si","0-2 horas","Alta","Alta","Alta","Media","Baja","Medio","Alto","Muy alto","Medio"
"2020/04/14 4:40:33 p.m. GMT-5","17-20 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Ferias Vocacionales","Si","Si","UNAH;Internet","Durante la carrera","Si","Si","Interés general en el area de conocimiento;Beneficios económicos","Muy satisfecho","Muy satisfecho",5,"Si","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería Industrial","","Si",3,"20-50%","0-30%","mas de 70%","70-79","Si",2,"No","Mañana;Tarde","Tal vez","0-2 horas","Media","Alta","Alta","Alta","Muy alta","Alto","Alto","Medio","Alto"
"2020/04/14 4:41:29 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Orientacion  VOAE","Si","Si","UNAH","Antes de cursar la carrera","Si","Si","Demanda laboral;Beneficios económicos;Por conocer profesionales que ya trabajan en el area","Muy satisfecho","Muy satisfecho",5,"Si","Sí","Si","","",1,"No era lo que esperaba;Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería Industrial","No ","Administración de Empresas",2,"20-50%","0-30%","mas de 70%","70-79","Si",1,"No","Mañana;Tarde","Si","2-4 horas","Alta","Muy alta","Muy alta","Muy alta","Alta","Alto","Alto","Muy alto","Alto"
"2020/04/14 4:41:34 p.m. GMT-5","21-24 años","Aquiler independiente","Ocotepeque","No","0 - 3000 L.","Si","No","No","Ninguna","No","Si","Internet","Antes de cursar la carrera","Si","No","Demanda laboral","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","Tal vez","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería Industrial","","",3,"20-50%","0-30%","mas de 70%","70-79","Si",1,"Si","Mañana;Tarde","Si","2-4 horas","Alta","Alta","Alta","Alta","Alta","Alto","Alto","Medio","Alto"
"2020/04/14 4:42:56 p.m. GMT-5","21-24 años","Familiares","Valle","No","0 - 3000 L.","No","No","Si","Ninguna","No","No","","","","Si","Demanda laboral","Muy satisfecho","Muy satisfecho",5,"Si","No","No","Sí","Tu edad;Recursos y tiempo invertidos en la carrera;Factor economico",NA,"","Ingeniería Industrial","","Medicina ",3,"20-50%","0-30%","50-70%","70-79","Si",2,"No","Mañana;Tarde","Si","2-4 horas","Media","Baja","Alta","Alta","Alta","Medio","Alto","Alto","Alto"
"2020/04/14 4:42:59 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","3000- 6000 L.","Si","No","Si","Ferias Vocacionales;Orientacion  VOAE","Si","Si","UNAH;Colegio;Internet","Antes de cursar la carrera","No","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Muy satisfecho",5,"No","Sí","No","","",1,"Cambio de intereses personales;No era lo que esperaba","Ingeniería Industrial","","",3,"20-50%","0-30%","0-30%","70-79","Si",1,"No","Mañana;Tarde","Si","mas de 4 horas","Alta","Alta","Muy alta","Muy alta","Alta","Medio","Medio","Alto","Medio"
"2020/04/14 4:43:16 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","Si","Departamento privado de psicología","Durante la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Poco satisfecho","Poco satisfecho",2,"No","Sí","Si","","",1,"No era lo que esperaba;Rendimiento académico","Ingeniería Industrial","No","Psicología",2,"20-50%","0-30%","mas de 70%","70-79","Si",1,"No","Mañana","Tal vez","0-2 horas","Baja","Baja","Media","Media","Baja","Medio","Alto","Alto","Medio"
"2020/04/14 4:45:52 p.m. GMT-5","17-20 años","Familiares","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ninguna","Si","No","","","","No","Influencia familiar","Poco satisfecho","Muy satisfecho",4,"No","No","Si","Sí","El sistema de cambio de carrera no te lo permite",NA,"","Ingeniería Industrial","No","Informatica administrativa ",1,"0-20%","0-30%","0-30%","65-69","Si",1,"No","Tarde","Tal vez","0-2 horas","Alta","Alta","Alta","Media","Media","Muy alto","Alto","Alto","Medio"
"2020/04/14 4:48:32 p.m. GMT-5","21-24 años","Aquiler independiente","El Paraíso","Si","Mayor a 6000 L.","Si","No","No","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","","",1,"Cambio de intereses personales","Ingeniería en Sistemas","Diplomado de Inglés ","Música ",3,"mas de 50%","mas de 70%","30-50%","70-79","Si",2,"Si","Noche","Si","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Muy alta","Muy alto","Muy alto","Muy alto","Muy alto"
"2020/04/14 4:50:36 p.m. GMT-5","21-24 años","Aquiler independiente","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Orientacion  VOAE","Si","Si","UNAH;Otro","Antes de cursar la carrera;Durante la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"No","Sí","No","","",1,"Cambio de intereses personales;Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería Industrial","","",3,"20-50%","0-30%","0-30%","70-79","No",NA,"","Mañana;Tarde","Tal vez","0-2 horas","Alta","Alta","Alta","Alta","Media","Medio","Muy alto","Alto","Medio"
"2020/04/14 4:51:50 p.m. GMT-5","21-24 años","Aquiler independiente","Intibucá","Si","0 - 3000 L.","No","No","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","","",1,"Cambio de intereses personales","Ingeniería en Sistemas","No","Robotica",2,"0-20%","0-30%","30-50%","65-69","Si",1,"No","Mañana","No","0-2 horas","Media","Alta","Muy alta","Muy alta","Muy alta","Alto","Alto","Alto","Muy alto"
"2020/04/14 4:52:47 p.m. GMT-5","17-20 años","Padres","Francisco Morazán","No","Mayor a 6000 L.","Si","No","Si","Ferias Vocacionales;Curso de induccion a la vida universitaria","Si","Si","Colegio;Internet","Antes de cursar la carrera","No","No","Influencia familiar","Poco satisfecho","Muy satisfecho",1,"Si","No","Si","Sí","Recursos y tiempo invertidos en la carrera;Opinion familiar/amigos;Estás realizando o vas a relizar un cambio de carrera",NA,"","Ingeniería Industrial","No","Si, Criminologia o Medicina ",3,"20-50%","0-30%","0-30%","80-89","Si",1,"Si","Mañana;Tarde","Si","0-2 horas","Muy alta","Muy alta","Baja","Muy alta","Alta","Bajo","Medio","Alto","Medio"
"2020/04/14 4:52:49 p.m. GMT-5","21-24 años","Aquiler independiente","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Curso de induccion a la vida universitaria","Si","No","","","","No","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","","Psicología",4,"mas de 50%","50-70%","0-30%","70-79","Si",2,"Si","Mañana","No","2-4 horas","Alta","Media","Media","Media","Media","Medio","Alto","Medio","Medio"
"2020/04/14 4:53:18 p.m. GMT-5","25-28 años","Propia","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","Si","Curso de induccion a la vida universitaria;Orientacion  VOAE","Si","No","","","","No","Interés general en el area de conocimiento;Por conocer profesionales que ya trabajan en el area","Muy satisfecho","Poco satisfecho",5,"No","Sí","Si","","",1,"No era lo que esperaba","Ingeniería Industrial","","Derecho",5,"mas de 50%","30-50%","mas de 70%","70-79","Si",3,"Si","Mañana","Si","0-2 horas","Media","Media","Media","Alta","Alta","Muy alto","Medio","Medio","Medio"
"2020/04/14 4:54:51 p.m. GMT-5","21-24 años","Aquiler independiente","Francisco Morazán","No","0 - 3000 L.","Si","Si","Si","Ninguna","Si","Si","Colegio;Departamento privado de psicología;Internet","Antes de cursar la carrera;Durante la carrera","Si","No","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",3,"Si","No","No","Sí","Recursos y tiempo invertidos en la carrera;El sistema de cambio de carrera no te lo permite;No cuentas con todos los requisitos para el proceso.",NA,"","Ingeniería en Sistemas","No","Informatica administrativa o medicina",3,"20-50%","0-30%","30-50%","70-79","Si",1,"No","Tarde","Si","0-2 horas","Muy alta","Alta","Muy alta","Muy alta","Media","Bajo","Bajo","Alto","Bajo"
"2020/04/14 4:56:55 p.m. GMT-5","21-24 años","Familiares","El Paraíso","No","0 - 3000 L.","Si","No","Si","Ninguna","Si","Si","UNAH;Colegio","Antes de cursar la carrera","No","No","Interés general en el area de conocimiento;Demanda laboral","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","No","Eléctrica",4,"mas de 50%","50-70%","0-30%","70-79","Si",1,"No","Mañana","Si","0-2 horas","Media","Media","Alta","Media","Media","Medio","Alto","Alto","Medio"
"2020/04/14 4:58:21 p.m. GMT-5","21-24 años","Propia","Francisco Morazán","No","0 - 3000 L.","No","No","No","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento;Demanda laboral","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","no","medicina , informatica Administrativa",3,"mas de 50%","30-50%","30-50%","70-79","Si",2,"No","Tarde;Noche","Tal vez","2-4 horas","Baja","Baja","Baja","Baja","Baja","Medio","Medio","Medio","Medio"
"2020/04/14 4:58:33 p.m. GMT-5","21-24 años","Aquiler independiente","Olancho","No","3000- 6000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento;Beneficios económicos;Por conocer profesionales que ya trabajan en el area","Poco satisfecho","Poco satisfecho",4,"No","No","Si","Tal vez","Recursos y tiempo invertidos en la carrera;El sistema de cambio de carrera no te lo permite;No cuentas con todos los requisitos para el proceso.",NA,"","Ingeniería Civil","No","Si",3,"20-50%","0-30%","50-70%","70-79","Si",1,"No","Tarde","Si","mas de 4 horas","Muy alta","Muy alta","Alta","Alta","Alta","Medio","Alto","Alto","Medio"
"2020/04/14 4:59:58 p.m. GMT-5","21-24 años","Familiares","Francisco Morazán","No","3000- 6000 L.","Si","No","No","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Nada satisfecho",2,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","","",2,"0-20%","0-30%","30-50%","65-69","Si",1,"No","Noche","Si","0-2 horas","Alta","Alta","Media","Alta","Muy alta","Muy alto","Muy alto","Muy alto","Muy alto"
"2020/04/14 5:00:20 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",4,"Si","No","No","No","",NA,"","Ingeniería Industrial","No","No",3,"20-50%","30-50%","0-30%","70-79","Si",1,"Si","Mañana","Tal vez","0-2 horas","Media","Media","Media","Baja","Media","Alto","Medio","Medio","Alto"
"2020/04/14 5:01:37 p.m. GMT-5","21-24 años","Familiares","Olancho","No","Mayor a 6000 L.","Si","Si","Si","Ninguna","Si","Si","UNAH","Durante la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Influencia familiar;Por conocer profesionales que ya trabajan en el area","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","","",1,"Influencia familiar","Ingeniería en Sistemas","No","No",2,"0-20%","0-30%","30-50%","65-69","Si",2,"Si","Mañana","Si","0-2 horas","Media","Media","Muy alta","Muy alta","Muy alta","Muy alto","Muy alto","Muy alto","Bajo"
"2020/04/14 5:02:00 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","Si","Si","Ferias Vocacionales;Ninguna","No","No","","","","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Poco satisfecho","Poco satisfecho",3,"Si","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería Industrial","","Astronomía y astrofísica ",4,"20-50%","0-30%","0-30%","70-79","Si",1,"No","Mañana","Tal vez","0-2 horas","Media","Media","Media","Media","Media","Bajo","Medio","Medio","Medio"
"2020/04/14 5:02:00 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","Mayor a 6000 L.","Si","Si","Si","Ninguna","Si","No","","","","No","Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería Industrial","No","Tal vez economía o admin. Pero no cono carrera principal",3,"20-50%","0-30%","mas de 70%","70-79","Si",2,"Si","Mañana","No","0-2 horas","Muy alta","Media","Media","Alta","Alta","Muy alto","Alto","Alto","Alto"
"2020/04/14 5:02:51 p.m. GMT-5","17-20 años","Aquiler independiente","El Paraíso","No","0 - 3000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento;Demanda laboral","Muy satisfecho","Muy satisfecho",3,"No","Sí","Si","","",1,"Cambio de intereses personales;Factor económico;No era lo que esperaba","Ingeniería Industrial","No","",3,"20-50%","0-30%","30-50%","80-89","Si",1,"No","Mañana;Tarde","Si","mas de 4 horas","Alta","Media","Media","Media","Alta","Medio","Alto","Alto","Muy alto"
"2020/04/14 5:05:13 p.m. GMT-5","21-24 años","Aquiler independiente","Colón","No","0 - 3000 L.","Si","Si","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No","",NA,"","Ingeniería Civil","No.","Astrofica",2,"0-20%","0-30%","0-30%","65-69","Si",1,"Si","Mañana;Tarde","Si","mas de 4 horas","Alta","Media","Alta","Alta","Alta","Alto","Muy alto","Medio","Alto"
"2020/04/14 5:09:34 p.m. GMT-5","21-24 años","Aquiler independiente","Copán","Si","Mayor a 6000 L.","Si","Si","No","Ninguna","Si","Si","Colegio;Internet;Otro","Antes de cursar la carrera;Durante la carrera","Si","Si","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",5,"No","No","Si","No","",NA,"","Ingeniería en Sistemas","No","Ing. Electronica",5,"mas de 50%","mas de 70%","0-30%","90-100","No",NA,"","Noche","Si","0-2 horas","Media","Baja","Media","Media","Muy alta","Alto","Muy alto","Muy alto","Muy alto"
"2020/04/14 5:11:10 p.m. GMT-5","17-20 años","Padres","Francisco Morazán","No","Mayor a 6000 L.","No","Si","Si","Ferias Vocacionales","No","No","","","","No","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos;Influencia familiar","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No","",NA,"","Ingeniería Industrial","","Mercadotecnia",1,"0-20%","0-30%","0-30%","70-79","Si",1,"Si","Mañana","Si","mas de 4 horas","Muy alta","Muy Baja","Alta","Muy alta","Alta","Medio","Alto","Alto","Alto"
"2020/04/14 5:11:19 p.m. GMT-5","17-20 años","Padres","Francisco Morazán","Si","Mayor a 6000 L.","No","No","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento;Beneficios económicos","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","","",1,"Factor económico","Ingeniería Industrial","","",2,"0-20%","30-50%","30-50%","70-79","Si",1,"Si","Mañana","Tal vez","0-2 horas","Muy alta","Media","Media","Alta","Media","Medio","Muy alto","Muy alto","Medio"
"2020/04/14 5:19:04 p.m. GMT-5","mayor de 28","Familiares","Valle","No","3000- 6000 L.","Si","No","No","Ninguna","No","No","","","","No","Interés general en el area de conocimiento","Poco satisfecho","Muy satisfecho",3,"Si","No","Si","Sí","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería en Sistemas","No","Si, medicina ",5,"mas de 50%","mas de 70%","mas de 70%","65-69","Si",2,"Si","Noche","Tal vez","0-2 horas","Media","Alta","Media","Alta","Media","Medio","Medio","Medio","Medio"
"2020/04/14 5:22:05 p.m. GMT-5","21-24 años","Propia","El Paraíso","No","0 - 3000 L.","Si","No","Si","Ninguna","No","No","","","","No","Interés general en el area de conocimiento;Beneficios económicos;Influencia familiar","Muy satisfecho","Poco satisfecho",3,"Si","Sí","Si","","",1,"Influencia familiar;No era lo que esperaba;Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería Industrial","","Arquitectura, derecho, economía ",2,"0-20%","0-30%","0-30%","80-89","Si",1,"No","Mañana;Tarde","Si","0-2 horas","Muy alta","Alta","Baja","Alta","Media","Medio","Medio","Alto","Medio"
"2020/04/14 5:24:12 p.m. GMT-5","21-24 años","Aquiler independiente","El Paraíso","Si","Mayor a 6000 L.","No","No","No","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","","Astronomía ",3,"mas de 50%","30-50%","0-30%","80-89","Si",1,"No","Noche","No","mas de 4 horas","Muy alta","Muy alta","Alta","Alta","Alta","Muy alto","Alto","Alto","Alto"
"2020/04/14 5:25:06 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","3000- 6000 L.","Si","No","No","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","No","",NA,"","Ingeniería Eléctrica","No","Economia",4,"mas de 50%","0-30%","50-70%","70-79","Si",3,"Si","Mañana;Tarde;Noche","Si","0-2 horas","Alta","Media","Media","Alta","Alta","Medio","Medio","Alto","Alto"
"2020/04/14 5:25:45 p.m. GMT-5","25-28 años","Padres","Francisco Morazán","No","3000- 6000 L.","Si","No","Si","Ferias Vocacionales;Orientacion  VOAE","Si","Si","UNAH;Colegio;Internet","Antes de cursar la carrera;Durante la carrera","No","Si","Interés general en el area de conocimiento;Demanda laboral","Muy satisfecho","Poco satisfecho",4,"Si","No","No","No","",NA,"","Ingeniería en Sistemas","","Ingeniería Civil ",5,"mas de 50%","mas de 70%","30-50%","70-79","Si",2,"Si","Mañana;Tarde;Noche","No","2-4 horas","Muy alta","Muy alta","Media","Alta","Media","Muy alto","Medio","Muy alto","Muy alto"
"2020/04/14 5:26:20 p.m. GMT-5","17-20 años","Aquiler independiente","Francisco Morazán","No","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento;Demanda laboral","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","","",1,"Cambio de intereses personales;Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería Mecánica","","",2,"0-20%","0-30%","30-50%","70-79","Si",1,"No","Mañana","Si","0-2 horas","Media","Baja","Media","Baja","Media","Alto","Medio","Medio","Alto"
"2020/04/14 5:26:21 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","3000- 6000 L.","Si","No","Si","Ferias Vocacionales","Si","Si","Colegio","Antes de cursar la carrera","Si","No","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería Eléctrica","No","Si. Física.",5,"mas de 50%","50-70%","30-50%","80-89","Si",2,"No","Tarde;Noche","Si","0-2 horas","Muy alta","Alta","Alta","Muy alta","Muy alta","Alto","Alto","Muy alto","Muy alto"
"2020/04/14 5:27:56 p.m. GMT-5","25-28 años","Familiares","Francisco Morazán","Si","3000- 6000 L.","Si","No","Si","Ferias Vocacionales","Si","Si","Internet","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",5,"Si","Sí","No","","",1,"Cambio de intereses personales;No era lo que esperaba;Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","No","No",3,"20-50%","30-50%","mas de 70%","<65","Si",2,"Si","Mañana","No","2-4 horas","Media","Media","Alta","Alta","Media","Medio","Alto","Alto","Alto"
"2020/04/14 5:28:29 p.m. GMT-5","21-24 años","Aquiler independiente","Olancho","Si","Mayor a 6000 L.","Si","Si","Si","Ferias Vocacionales","Si","Si","Internet;Otro","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"No","No","Si","No","",NA,"","Ingeniería en Sistemas","","Arquitectura o Diseño ",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si",2,"Si","Tarde;Noche","Si","2-4 horas","Muy alta","Muy alta","Muy alta","Alta","Alta","Medio","Muy alto","Muy alto","Medio"
"2020/04/14 5:31:39 p.m. GMT-5","17-20 años","Aquiler independiente","Atlántida","No","Mayor a 6000 L.","Si","Si","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",4,"No","No","Si","Tal vez","Estás realizando o vas a relizar un cambio de carrera",NA,"","Ingeniería Industrial","","Ing Química",1,"0-20%","0-30%","30-50%","65-69","Si",1,"No","Mañana;Tarde","Si","0-2 horas","Alta","Alta","Alta","Alta","Alta","","","Alto","Alto"
"2020/04/14 5:32:29 p.m. GMT-5","21-24 años","Familiares","Olancho","Si","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",4,"No","No","Si","No","",NA,"","Ingeniería en Sistemas","","Medicina",3,"mas de 50%","0-30%","50-70%","70-79","Si",2,"No","Tarde","No","mas de 4 horas","Muy alta","Alta","Alta","Muy alta","Media","Alto","","",""
"2020/04/14 5:37:43 p.m. GMT-5","25-28 años","Padres","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","No","No",1,"0-20%","0-30%","0-30%","<65","Si",1,"No","Noche","Si","0-2 horas","Alta","Alta","Muy alta","Alta","Muy alta","Alto","Alto","Muy alto","Alto"
"2020/04/14 5:37:45 p.m. GMT-5","21-24 años","Aquiler independiente","El Paraíso","No","3000- 6000 L.","Si","No","Si","Ninguna","Si","Si","Colegio;Internet","Antes de cursar la carrera;Durante la carrera","No","No","Interés general en el area de conocimiento;Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería Eléctrica","No","Si",5,"mas de 50%","50-70%","mas de 70%","70-79","Si",2,"No","Mañana","Si","2-4 horas","Media","Media","Alta","Alta","Muy alta","Alto","Medio","Medio","Muy alto"
"2020/04/14 5:39:31 p.m. GMT-5","21-24 años","Aquiler independiente","La Paz","No","3000- 6000 L.","No","No","Si","Ninguna","Si","Si","Internet","Antes de cursar la carrera","Si","Si","Beneficios económicos","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","","Matemáticas",5,"mas de 50%","50-70%","mas de 70%","80-89","No",NA,"","Mañana;Tarde","Si","mas de 4 horas","Alta","Media","Alta","Alta","Muy alta","Alto","Muy alto","Muy alto","Muy alto"
"2020/04/14 5:40:42 p.m. GMT-5","21-24 años","Propia","Francisco Morazán","No","3000- 6000 L.","No","No","Si","Ninguna","Si","Si","Internet","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","","",1,"Cambio de intereses personales;Factor económico;No era lo que esperaba","Ingeniería Industrial","","Economía ",3,"20-50%","30-50%","mas de 70%","70-79","Si",1,"No","Mañana","Tal vez","0-2 horas","Muy alta","Media","Alta","Muy alta","Media","Alto","Muy alto","Muy alto","Alto"
"2020/04/14 5:44:34 p.m. GMT-5","21-24 años","Propia","Francisco Morazán","No","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",3,"Si","No","No","No","",NA,"","Ingeniería en Sistemas","","Ingenieria Electrica",3,"20-50%","0-30%","mas de 70%","70-79","Si",1,"No","Mañana;Tarde;Noche","Tal vez","mas de 4 horas","Media","Media","Media","Baja","Media","Alto","Alto","Alto","Medio"
"2020/04/14 5:44:44 p.m. GMT-5","21-24 años","Familiares","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Poco satisfecho","Poco satisfecho",5,"No","Sí","Si","","",1,"Cambio de intereses personales","Ingeniería Química","No","No",3,"mas de 50%","50-70%","mas de 70%","70-79","Si",2,"Si","Mañana","Si","0-2 horas","Alta","Muy alta","Muy alta","Muy alta","Muy alta","Alto","","Alto","Alto"
