"Timestamp","edad","lugar_residencia","trabaja","ingreso_mensual","familiares_graduados","familiares_misma_carrera","conocimiento_plan_estudios","conocimiento_areas_carrera","previo_test_vocacional","momento_test_vocacional","resultados_congruentes_test","conocimiento_test_unah","satisfaccion_carrera","satisfaccion_docentes","motivacion","opcion_inicial_carrera","cambio_carrera","interes_herramienta_tecnologica","pensado_cambio_carrera","veces._cambio_carrera","nombre_carrera","nombre_opcion_carrera","año_carrera","procentaje_clases_cursadas","porcentaje_clases_facultad","porcentaje_clases_matematica","indice_academico","reprobado","año_reprobacion","reprobado_mas_de_dos","estudia_grupo","horas_estudio_diario","comunicación_oral_escrita.","relaciones_interpersonales.","creatividad","liderazgo","autodidacta","calculo_mental","resolucion_puzzles","juegos_estrategia","operaciones_matematicas","asesoria_universitaria","jornada","razones_eleccion_carrera","factores_no_cambio","factores_cambio_carrera","multiple_carrera","lugar_origen","lugar_test_vocacional"
"2020/04/14 4:16:56 p.m. GMT-5","mayor de 28","Propia","Si","Mayor a 6000 L.","Si","No","No","Si","Si","Antes de cursar la carrera","Si","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","No",0,"Ingeniería en Sistemas","ingenieria electrica",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","1","Si","No","0-2 horas","Media","Baja","Baja","Baja","Alta","Bajo","Bajo","Medio","Bajo","Ninguna","Doble Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","Otro"
"2020/04/14 4:21:30 p.m. GMT-5","21-24 años","Familiares","No","3000- 6000 L.","Si","No","No","Si","No","No aplica","Si","No","Poco satisfecho","Muy satisfecho",2,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","comunicaciones",2,"20-50%","0-30%","mas de 70%","<65","Si","1","Si","No","2-4 horas","Muy alta","Baja","Muy Baja","Baja","Media","Medio","Medio","Muy alto","Medio","Ninguna","Doble Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Nororiental","No aplica"
"2020/04/14 4:29:03 p.m. GMT-5","21-24 años","Padres","Si","Mayor a 6000 L.","No","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",2,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","No contestó",2,"0-20%","0-30%","0-30%","65-69","Si","1","Si","Si","0-2 horas","Alta","Alta","Alta","Media","Baja","Medio","Alto","Muy alto","Medio","Ninguna","Unica Jornada","Influencia Familiar/Conocidos","Opinion familiar/amigos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:40:33 p.m. GMT-5","17-20 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","Sí","Si","No aplica",1,"Ingeniería Industrial","Si",3,"20-50%","0-30%","mas de 70%","70-79","Si","2","No","Tal vez","0-2 horas","Media","Alta","Alta","Alta","Muy alta","Alto","Alto","Medio","Alto","Feria vocacional y Curso induccion","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","Internet"
"2020/04/14 4:41:29 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","Sí","Si","No aplica",1,"Ingeniería Industrial","Administración de Empresas",2,"20-50%","0-30%","mas de 70%","70-79","Si","1","No","Si","2-4 horas","Alta","Muy alta","Muy alta","Muy alta","Alta","Alto","Alto","Muy alto","Alto","Orientacion VOAE","Doble Jornada","Influencia Familiar/Conocidos","No aplica","No era lo que esperaba","No","Centro Oriental","UNAH"
"2020/04/14 4:41:34 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","No","No","No","Si","Antes de cursar la carrera","Si","No","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","Tal vez",0,"Ingeniería Industrial","No contestó",3,"20-50%","0-30%","mas de 70%","70-79","Si","1","Si","Si","2-4 horas","Alta","Alta","Alta","Alta","Alta","Alto","Alto","Medio","Alto","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Occidental","Internet"
"2020/04/14 4:42:56 p.m. GMT-5","21-24 años","Familiares","No","0 - 3000 L.","No","No","Si","No","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","No","Sí",0,"Ingeniería Industrial","Medicina ",3,"20-50%","0-30%","50-70%","70-79","Si","2","No","Si","2-4 horas","Media","Baja","Alta","Alta","Alta","Medio","Alto","Alto","Alto","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Sur","No aplica"
"2020/04/14 4:42:59 p.m. GMT-5","21-24 años","Padres","No","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","No","Si","Muy satisfecho","Muy satisfecho",5,"No","Sí","No","No aplica",1,"Ingeniería Industrial","No contestó",3,"20-50%","0-30%","0-30%","70-79","Si","1","No","Si","mas de 4 horas","Alta","Alta","Muy alta","Muy alta","Alta","Medio","Medio","Alto","Medio","Orientacion VOAE","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","Cambio de intereses personales","No","Centro Oriental","UNAH"
"2020/04/14 4:43:16 p.m. GMT-5","21-24 años","Padres","No","Mayor a 6000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","Si","Poco satisfecho","Poco satisfecho",2,"No","Sí","Si","No aplica",1,"Ingeniería Industrial","Psicología",2,"20-50%","0-30%","mas de 70%","70-79","Si","1","No","Tal vez","0-2 horas","Baja","Baja","Media","Media","Baja","Medio","Alto","Alto","Medio","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No era lo que esperaba","No","Centro Oriental","Otro"
"2020/04/14 4:45:52 p.m. GMT-5","17-20 años","Familiares","No","0 - 3000 L.","Si","No","No","Si","No","No aplica","Si","No","Poco satisfecho","Muy satisfecho",4,"No","No","Si","Sí",0,"Ingeniería Industrial","Informatica administrativa ",1,"0-20%","0-30%","0-30%","65-69","Si","1","No","Tal vez","0-2 horas","Alta","Alta","Alta","Media","Media","Muy alto","Alto","Alto","Medio","Ninguna","Unica Jornada","Influencia Familiar/Conocidos","No cumple con requisitos requeridos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:48:32 p.m. GMT-5","21-24 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","No","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Música ",3,"mas de 50%","mas de 70%","30-50%","70-79","Si","2","Si","Si","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Muy alta","Muy alto","Muy alto","Muy alto","Muy alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Cambio de intereses personales","Si","Centro Oriental","No aplica"
"2020/04/14 4:50:36 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","Si","Si","Muy satisfecho","Poco satisfecho",4,"No","Sí","No","No aplica",1,"Ingeniería Industrial","No contestó",3,"20-50%","0-30%","0-30%","70-79","No","No aplica","Si","Tal vez","0-2 horas","Alta","Alta","Alta","Alta","Media","Medio","Muy alto","Alto","Medio","Orientacion VOAE","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","UNAH/Otro"
"2020/04/14 4:51:50 p.m. GMT-5","21-24 años","Aquiler independiente","Si","0 - 3000 L.","No","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Robotica",2,"0-20%","0-30%","30-50%","65-69","Si","1","No","No","0-2 horas","Media","Alta","Muy alta","Muy alta","Muy alta","Alto","Alto","Alto","Muy alto","Ninguna","Unica Jornada","Vocación","No aplica","Cambio de intereses personales","No","Centro Occidental","No aplica"
"2020/04/14 4:52:47 p.m. GMT-5","17-20 años","Padres","No","Mayor a 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","No","No","Poco satisfecho","Muy satisfecho",1,"Si","No","Si","Sí",0,"Ingeniería Industrial","Si, Criminologia o Medicina ",3,"20-50%","0-30%","0-30%","80-89","Si","1","Si","Si","0-2 horas","Muy alta","Muy alta","Baja","Muy alta","Alta","Bajo","Medio","Alto","Medio","Feria vocacional y Curso induccion","Doble Jornada","Influencia Familiar/Conocidos","Actualmente en proceso de cambio","No aplica","No","Centro Oriental","Internet"
"2020/04/14 4:52:49 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería en Sistemas","Psicología",4,"mas de 50%","50-70%","0-30%","70-79","Si","2","Si","No","2-4 horas","Alta","Media","Media","Media","Media","Medio","Alto","Medio","Medio","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:53:18 p.m. GMT-5","25-28 años","Propia","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería Industrial","Derecho",5,"mas de 50%","30-50%","mas de 70%","70-79","Si","3","Si","Si","0-2 horas","Media","Media","Media","Alta","Alta","Muy alto","Medio","Medio","Medio","Orientacion VOAE","Unica Jornada","Vocación","No aplica","No era lo que esperaba","No","Centro Oriental","No aplica"
"2020/04/14 4:54:51 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","Si","No","Muy satisfecho","Poco satisfecho",3,"Si","No","No","Sí",0,"Ingeniería en Sistemas","Informatica administrativa o medicina",3,"20-50%","0-30%","30-50%","70-79","Si","1","No","Si","0-2 horas","Muy alta","Alta","Muy alta","Muy alta","Media","Bajo","Bajo","Alto","Bajo","Ninguna","Unica Jornada","Vocación","No cumple con requisitos requeridos","No aplica","No","Centro Oriental","Colegio"
"2020/04/14 4:56:55 p.m. GMT-5","21-24 años","Familiares","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","No","No","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","No",0,"Ingeniería en Sistemas","Eléctrica",4,"mas de 50%","50-70%","0-30%","70-79","Si","1","No","Si","0-2 horas","Media","Media","Alta","Media","Media","Medio","Alto","Alto","Medio","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","UNAH"
"2020/04/14 4:58:21 p.m. GMT-5","21-24 años","Propia","No","0 - 3000 L.","No","No","No","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería en Sistemas","medicina , informatica Administrativa",3,"mas de 50%","30-50%","30-50%","70-79","Si","2","No","Tal vez","2-4 horas","Baja","Baja","Baja","Baja","Baja","Medio","Medio","Medio","Medio","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:58:33 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",4,"No","No","Si","Tal vez",0,"Ingeniería Civil","Si",3,"20-50%","0-30%","50-70%","70-79","Si","1","No","Si","mas de 4 horas","Muy alta","Muy alta","Alta","Alta","Alta","Medio","Alto","Alto","Medio","Ninguna","Unica Jornada","Vocación","No cumple con requisitos requeridos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:59:58 p.m. GMT-5","21-24 años","Familiares","No","3000- 6000 L.","Si","No","No","Si","No","No aplica","Si","No","Muy satisfecho","Nada satisfecho",2,"Si","No","Si","No",0,"Ingeniería en Sistemas","No contestó",2,"0-20%","0-30%","30-50%","65-69","Si","1","No","Si","0-2 horas","Alta","Alta","Media","Alta","Muy alta","Muy alto","Muy alto","Muy alto","Muy alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 5:00:20 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","No","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",4,"Si","No","No","No",0,"Ingeniería Industrial","No",3,"20-50%","30-50%","0-30%","70-79","Si","1","Si","Tal vez","0-2 horas","Media","Media","Media","Baja","Media","Alto","Medio","Medio","Alto","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 5:01:37 p.m. GMT-5","21-24 años","Familiares","No","Mayor a 6000 L.","Si","Si","Si","Si","Si","Durante la carrera","Si","Si","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","No",2,"0-20%","0-30%","30-50%","65-69","Si","2","Si","Si","0-2 horas","Media","Media","Muy alta","Muy alta","Muy alta","Muy alto","Muy alto","Muy alto","Bajo","Ninguna","Unica Jornada","Influencia Familiar/Conocidos","No aplica","Influencia familiar","No","Centro Oriental","UNAH"
"2020/04/14 5:02:00 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","Si","Si","No","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",3,"Si","Sí","Si","No aplica",1,"Ingeniería Industrial","Astronomía y astrofísica ",4,"20-50%","0-30%","0-30%","70-79","Si","1","No","Tal vez","0-2 horas","Media","Media","Media","Media","Media","Bajo","Medio","Medio","Medio","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 5:02:00 p.m. GMT-5","21-24 años","Padres","No","Mayor a 6000 L.","Si","Si","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería Industrial","Tal vez economía o admin. Pero no cono carrera principal",3,"20-50%","0-30%","mas de 70%","70-79","Si","2","Si","No","0-2 horas","Muy alta","Media","Media","Alta","Alta","Muy alto","Alto","Alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 5:02:51 p.m. GMT-5","17-20 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",3,"No","Sí","Si","No aplica",1,"Ingeniería Industrial","No contestó",3,"20-50%","0-30%","30-50%","80-89","Si","1","No","Si","mas de 4 horas","Alta","Media","Media","Media","Alta","Medio","Alto","Alto","Muy alto","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","No era lo que esperaba","No","Centro Oriental","No aplica"
"2020/04/14 5:05:13 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","Si","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería Civil","Astrofica",2,"0-20%","0-30%","0-30%","65-69","Si","1","Si","Si","mas de 4 horas","Alta","Media","Alta","Alta","Alta","Alto","Muy alto","Medio","Alto","Ninguna","Doble Jornada","Vocación","No aplica","No aplica","No","Nororiental","No aplica"
"2020/04/14 5:09:34 p.m. GMT-5","21-24 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","Si","No","Si","Si","Antes de cursar la carrera;Durante la carrera","Si","Si","Muy satisfecho","Poco satisfecho",5,"No","No","Si","No",0,"Ingeniería en Sistemas","Ing. Electronica",5,"mas de 50%","mas de 70%","0-30%","90-100","No","No aplica","Si","Si","0-2 horas","Media","Baja","Media","Media","Muy alta","Alto","Muy alto","Muy alto","Muy alto","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Occidental","Internet"
"2020/04/14 5:11:10 p.m. GMT-5","17-20 años","Padres","No","Mayor a 6000 L.","No","Si","Si","No","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería Industrial","Mercadotecnia",1,"0-20%","0-30%","0-30%","70-79","Si","1","Si","Si","mas de 4 horas","Muy alta","Muy Baja","Alta","Muy alta","Alta","Medio","Alto","Alto","Alto","Feria vocacional y Curso induccion","Unica Jornada","Influencia Familiar/Conocidos","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 5:11:19 p.m. GMT-5","17-20 años","Padres","Si","Mayor a 6000 L.","No","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Industrial","No contestó",2,"0-20%","30-50%","30-50%","70-79","Si","1","Si","Tal vez","0-2 horas","Muy alta","Media","Media","Alta","Media","Medio","Muy alto","Muy alto","Medio","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Factor económico","No","Centro Oriental","No aplica"
"2020/04/14 5:19:04 p.m. GMT-5","mayor de 28","Familiares","No","3000- 6000 L.","Si","No","No","No","No","No aplica","Si","No","Poco satisfecho","Muy satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Si, medicina ",5,"mas de 50%","mas de 70%","mas de 70%","65-69","Si","2","Si","Tal vez","0-2 horas","Media","Alta","Media","Alta","Media","Medio","Medio","Medio","Medio","Ninguna","Unica Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Sur","No aplica"
"2020/04/14 5:22:05 p.m. GMT-5","21-24 años","Propia","No","0 - 3000 L.","Si","No","Si","No","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",3,"Si","Sí","Si","No aplica",1,"Ingeniería Industrial","Arquitectura, derecho, economía ",2,"0-20%","0-30%","0-30%","80-89","Si","1","No","Si","0-2 horas","Muy alta","Alta","Baja","Alta","Media","Medio","Medio","Alto","Medio","Ninguna","Doble Jornada","Influencia Familiar/Conocidos","No aplica","Influencia familiar","No","Centro Oriental","No aplica"
"2020/04/14 5:24:12 p.m. GMT-5","21-24 años","Aquiler independiente","Si","Mayor a 6000 L.","No","No","No","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería en Sistemas","Astronomía ",3,"mas de 50%","30-50%","0-30%","80-89","Si","1","No","No","mas de 4 horas","Muy alta","Muy alta","Alta","Alta","Alta","Muy alto","Alto","Alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 5:25:06 p.m. GMT-5","21-24 años","Padres","Si","3000- 6000 L.","Si","No","No","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","No",0,"Ingeniería Eléctrica","Economia",4,"mas de 50%","0-30%","50-70%","70-79","Si","3","Si","Si","0-2 horas","Alta","Media","Media","Alta","Alta","Medio","Medio","Alto","Alto","Ninguna","Jornada completa","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 5:25:45 p.m. GMT-5","25-28 años","Padres","No","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","No","Si","Muy satisfecho","Poco satisfecho",4,"Si","No","No","No",0,"Ingeniería en Sistemas","Ingeniería Civil ",5,"mas de 50%","mas de 70%","30-50%","70-79","Si","2","Si","No","2-4 horas","Muy alta","Muy alta","Media","Alta","Media","Muy alto","Medio","Muy alto","Muy alto","Orientacion VOAE","Jornada completa","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","UNAH"
"2020/04/14 5:26:20 p.m. GMT-5","17-20 años","Aquiler independiente","No","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Mecánica","No contestó",2,"0-20%","0-30%","30-50%","70-79","Si","1","No","Si","0-2 horas","Media","Baja","Media","Baja","Media","Alto","Medio","Medio","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 5:26:21 p.m. GMT-5","21-24 años","Padres","No","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería Eléctrica","Si. Física.",5,"mas de 50%","50-70%","30-50%","80-89","Si","2","No","Si","0-2 horas","Muy alta","Alta","Alta","Muy alta","Muy alta","Alto","Alto","Muy alto","Muy alto","Feria vocacional y Curso induccion","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","Colegio"
"2020/04/14 5:27:56 p.m. GMT-5","25-28 años","Familiares","Si","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Poco satisfecho",5,"Si","Sí","No","No aplica",1,"Ingeniería en Sistemas","No",3,"20-50%","30-50%","mas de 70%","<65","Si","2","Si","No","2-4 horas","Media","Media","Alta","Alta","Media","Medio","Alto","Alto","Alto","Feria vocacional y Curso induccion","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","Internet"
"2020/04/14 5:28:29 p.m. GMT-5","21-24 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Poco satisfecho",4,"No","No","Si","No",0,"Ingeniería en Sistemas","Arquitectura o Diseño ",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","2","Si","Si","2-4 horas","Muy alta","Muy alta","Muy alta","Alta","Alta","Medio","Muy alto","Muy alto","Medio","Feria vocacional y Curso induccion","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","Internet"
"2020/04/14 5:31:39 p.m. GMT-5","17-20 años","Aquiler independiente","No","Mayor a 6000 L.","Si","Si","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",4,"No","No","Si","Tal vez",0,"Ingeniería Industrial","Ing Química",1,"0-20%","0-30%","30-50%","65-69","Si","1","No","Si","0-2 horas","Alta","Alta","Alta","Alta","Alta","No contestó","No contestó","Alto","Alto","Ninguna","Doble Jornada","Vocación","Actualmente en proceso de cambio","No aplica","No","Nororiental","No aplica"
"2020/04/14 5:32:29 p.m. GMT-5","21-24 años","Familiares","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",4,"No","No","Si","No",0,"Ingeniería en Sistemas","Medicina",3,"mas de 50%","0-30%","50-70%","70-79","Si","2","No","No","mas de 4 horas","Muy alta","Alta","Alta","Muy alta","Media","Alto","No contestó","No contestó","No contestó","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 5:37:43 p.m. GMT-5","25-28 años","Padres","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","No",1,"0-20%","0-30%","0-30%","<65","Si","1","No","Si","0-2 horas","Alta","Alta","Muy alta","Alta","Muy alta","Alto","Alto","Muy alto","Alto","Ninguna","Unica Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 5:37:45 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","No","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería Eléctrica","Si",5,"mas de 50%","50-70%","mas de 70%","70-79","Si","2","No","Si","2-4 horas","Media","Media","Alta","Alta","Muy alta","Alto","Medio","Medio","Muy alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","Internet"
"2020/04/14 5:39:31 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","No","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería en Sistemas","Matemáticas",5,"mas de 50%","50-70%","mas de 70%","80-89","No","No aplica","Si","Si","mas de 4 horas","Alta","Media","Alta","Alta","Muy alta","Alto","Muy alto","Muy alto","Muy alto","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Occidental","Internet"
"2020/04/14 5:40:42 p.m. GMT-5","21-24 años","Propia","No","3000- 6000 L.","No","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Industrial","Economía ",3,"20-50%","30-50%","mas de 70%","70-79","Si","1","No","Tal vez","0-2 horas","Muy alta","Media","Alta","Muy alta","Media","Alto","Muy alto","Muy alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No era lo que esperaba","No","Centro Oriental","Internet"
"2020/04/14 5:44:34 p.m. GMT-5","21-24 años","Propia","No","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",3,"Si","No","No","No",0,"Ingeniería en Sistemas","Ingenieria Electrica",3,"20-50%","0-30%","mas de 70%","70-79","Si","1","No","Tal vez","mas de 4 horas","Media","Media","Media","Baja","Media","Alto","Alto","Alto","Medio","Ninguna","Jornada completa","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 5:44:44 p.m. GMT-5","21-24 años","Familiares","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería Química","No",3,"mas de 50%","50-70%","mas de 70%","70-79","Si","2","Si","Si","0-2 horas","Alta","Muy alta","Muy alta","Muy alta","Muy alta","Alto","No contestó","Alto","Alto","Ninguna","Unica Jornada","Vocación","No aplica","Cambio de intereses personales","No","Centro Oriental","No aplica"
"2020/04/14 5:45:05 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","No","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",5,"Si","No","Si","No",0,"Ingeniería Eléctrica","No contestó",3,"mas de 50%","0-30%","50-70%","80-89","Si","2","Si","Si","mas de 4 horas","Alta","Alta","Alta","Alta","Alta","Muy alto","Alto","Alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Occidental","No aplica"
"2020/04/14 5:45:32 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","Si","Poco satisfecho","Poco satisfecho",2,"Si","No","Si","Sí",0,"Ingeniería Química","sistemas o eléctrica",4,"mas de 50%","50-70%","mas de 70%","65-69","Si","3","Si","No","2-4 horas","Alta","Media","Media","Alta","Muy alta","Alto","Muy alto","Muy alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","UNAH"
"2020/04/14 5:47:32 p.m. GMT-5","21-24 años","Padres","No","Mayor a 6000 L.","Si","No","No","Si","No","No aplica","Si","Si","Muy satisfecho","Nada satisfecho",2,"Si","No","Si","Sí",0,"Ingeniería Química","No contestó",3,"20-50%","0-30%","0-30%","70-79","Si","1","Si","Si","mas de 4 horas","Media","Alta","Media","Media","Media","Bajo","Medio","Medio","Medio","Ninguna","Unica Jornada","Vocación","No contestó","No aplica","No","Centro Oriental","No aplica"
